dataset,metric,n_cases,n_seeds,rewrite_mean,rewrite_std_across_seeds,no_rewrite_mean,no_rewrite_std_across_seeds,delta_rewrite_minus_no_rewrite,hierarchical_ci_low,hierarchical_ci_high,wilcoxon_case_mean_p
BUSI,dice,78,3,0.85712322,0.0057419242,0.84546524,0.020291519,0.011657974,-0.015836222,0.04167519,0.012615632
BUSI,iou,78,3,0.79364349,0.0083245258,0.77909515,0.02250045,0.014548342,-0.015532604,0.047851987,0.013598832
