method,modality,dataset,seeds,samples_per_seed,dice_mean,dice_std,iou_mean,iou_std,nsd_mean,nsd_std,hd95_finite_mean,hd95_finite_std,assd_finite_mean,assd_finite_std,one_empty_failure_rate_mean,one_empty_failure_rate_std
U-Net,image-only,medclipseg_busbra,3,282,0.873509333,0.001308769,0.790628667,0.001731123,0.447522667,0.006618503,22.170467333,0.689208520,6.046227333,0.106184423,0.000000000,0.000000000
U-Net,image-only,medclipseg_brisc,3,892,0.849974333,0.001199090,0.774966333,0.000373928,0.616793667,0.009834547,13.819852333,0.310677094,4.872345000,0.113542178,0.006352667,0.002334108
U-Net,image-only,medclipseg_covid19,3,2113,0.788064000,0.000745541,0.690186667,0.001189399,0.640797000,0.004465078,30.466415333,0.198700776,7.131417333,0.076519540,0.000000000,0.000000000
U-Net++,image-only,medclipseg_busi,3,78,0.762127333,0.006689667,0.694130333,0.007900239,0.346898667,0.014562055,48.764719667,3.252993173,15.777814333,0.460545711,0.064102667,0.012820500
U-Net++,image-only,medclipseg_clinicdb,3,61,0.897716000,0.006427552,0.832030000,0.008343230,0.600738667,0.011317238,18.467288000,1.575439876,4.745919667,0.198011330,0.000000000,0.000000000
U-Net++,image-only,medclipseg_busbra,3,282,0.885901667,0.000598744,0.811182000,0.000656310,0.530355333,0.001996101,18.501238000,0.522022293,5.218601333,0.046417196,0.000000000,0.000000000
U-Net++,image-only,medclipseg_brisc,3,892,0.859399000,0.004064339,0.789897333,0.003674464,0.676605667,0.004712415,13.554989667,0.159183732,4.745758667,0.172767309,0.007473667,0.003236626
U-Net++,image-only,medclipseg_covid19,3,2113,0.800038667,0.000584717,0.705102000,0.000765279,0.665654333,0.001531211,28.021432000,0.243706601,6.529895667,0.052255084,0.000000000,0.000000000
nnU-Net,image-only,medclipseg_busi,3,78,0.749906000,0.002306890,0.686341333,0.002670372,0.337573000,0.005172971,44.653437000,2.826690151,15.432708667,2.075682891,0.085470333,0.019583419
nnU-Net,image-only,medclipseg_clinicdb,3,61,0.936224333,0.003052402,0.886285667,0.002875367,0.705794667,0.004793888,9.822503333,1.229661206,2.714074667,0.251479783,0.000000000,0.000000000
nnU-Net,image-only,medclipseg_busbra,3,282,0.898030333,0.004414293,0.828980667,0.004819599,0.538869333,0.004076441,14.834894333,0.614325589,4.517889333,0.189364969,0.000000000,0.000000000
nnU-Net,image-only,medclipseg_brisc,3,892,0.872950000,0.003535059,0.813115667,0.004268901,0.733337000,0.005073613,12.584226333,0.537525785,3.954871000,0.258436959,0.014947667,0.003936823
nnU-Net,image-only,medclipseg_covid19,3,2113,0.790652000,0.001369946,0.696671000,0.002425387,0.660855333,0.003094605,28.005599000,0.652190259,6.550033333,0.157269928,0.007099000,0.001420000
U-Mamba,image-only,medclipseg_busi,3,78,0.766323667,0.008018684,0.701592000,0.005500418,0.354790667,0.014665318,49.161666000,12.169571428,16.640132000,2.787280925,0.068376333,0.007401630
U-Mamba,image-only,medclipseg_clinicdb,3,61,0.922086000,0.001585184,0.871227667,0.003304543,0.697882000,0.012516312,13.228996667,0.518241983,3.600812667,0.219798324,0.000000000,0.000000000
U-Mamba,image-only,medclipseg_busbra,3,282,0.903404333,0.004590107,0.835776333,0.004742202,0.552533333,0.002095635,13.719202667,0.737468683,4.316919333,0.257376483,0.000000000,0.000000000
U-Mamba,image-only,medclipseg_brisc,3,892,0.853710667,0.005795001,0.791645000,0.006638563,0.701906333,0.011039180,13.230239000,0.299187062,4.620414667,0.184551177,0.020179333,0.002966265
U-Mamba,image-only,medclipseg_covid19,3,2113,0.790756667,0.003129394,0.696832667,0.004232977,0.663464333,0.004295114,27.784466000,0.727475962,6.695840667,0.175909369,0.006152333,0.001639097
U-KAN,image-only,medclipseg_busi,3,78,0.770963667,0.033281024,0.703751667,0.033735297,0.371037667,0.029349772,48.213848333,2.727452074,16.788930000,1.733215021,0.059829000,0.029607677
U-KAN,image-only,medclipseg_clinicdb,3,61,0.913958333,0.003400152,0.853100333,0.003303784,0.629289000,0.003317147,15.171817667,0.940905686,3.893418000,0.175185276,0.000000000,0.000000000
U-KAN,image-only,medclipseg_busbra,3,282,0.885575667,0.007477724,0.811885667,0.008117294,0.526349667,0.006814739,16.981279333,0.324011800,5.189182000,0.286915354,0.000000000,0.000000000
U-KAN,image-only,medclipseg_brisc,3,892,0.854542000,0.003182038,0.783250333,0.003528306,0.648882000,0.005334763,13.015724000,0.691641602,4.282696333,0.178596330,0.015695000,0.004041823
U-KAN,image-only,medclipseg_covid19,3,2113,0.793816333,0.002104858,0.699106000,0.002992153,0.672275000,0.003105719,29.323692333,1.001515301,6.883909667,0.226822046,0.003786000,0.001706396
