method,modality,dataset,seed,samples,dice_mean,iou_mean,nsd_mean,hd95_finite_mean,assd_finite_mean,one_empty_failure_rate,source
CausalCLIPSeg,image+text,medclipseg_clinicdb,123,61,0.901527,0.843240,0.635007,15.783763,4.155086,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_R0/medclipseg_clinicdb/seed123/controls/true/summary.csv
CausalCLIPSeg,image+text,medclipseg_clinicdb,456,61,0.923392,0.866154,0.669130,16.812324,3.649320,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_R0/medclipseg_clinicdb/seed456/controls/true/summary.csv
CausalCLIPSeg,image+text,medclipseg_clinicdb,789,61,0.910665,0.845759,0.623633,14.733794,3.704277,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_R0/medclipseg_clinicdb/seed789/controls/true/summary.csv
CausalCLIPSeg,image+text,medclipseg_busbra,123,282,0.887599,0.811963,0.487441,15.860813,5.201428,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_R0/medclipseg_busbra/seed123/controls/true/summary.csv
CausalCLIPSeg,image+text,medclipseg_busbra,456,282,0.894055,0.820944,0.510317,14.756059,4.505185,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_R0/medclipseg_busbra/seed456/controls/true/summary.csv
CausalCLIPSeg,image+text,medclipseg_busbra,789,282,0.884543,0.808597,0.489283,15.966652,5.255188,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_R0/medclipseg_busbra/seed789/controls/true/summary.csv
CausalCLIPSeg,image+text,medclipseg_brisc,123,892,0.863927,0.794674,0.669362,13.449328,4.472702,0.013453,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_R0/medclipseg_brisc/seed123/controls/true/summary.csv
CausalCLIPSeg,image+text,medclipseg_brisc,456,892,0.861655,0.791033,0.665049,14.333295,4.882412,0.001121,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_R0/medclipseg_brisc/seed456/controls/true/summary.csv
CausalCLIPSeg,image+text,medclipseg_brisc,789,892,0.857792,0.784568,0.642685,16.297075,5.103554,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_R0/medclipseg_brisc/seed789/controls/true/summary.csv
CausalCLIPSeg,image+text,medclipseg_covid19,123,2113,0.816963,0.727755,0.680559,20.156803,5.587777,0.001420,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_R0/medclipseg_covid19/seed123/controls/true/summary.csv
