method,modality,dataset,seed,samples,dice_mean,iou_mean,nsd_mean,hd95_finite_mean,assd_finite_mean,one_empty_failure_rate,source
U-Net,image-only,medclipseg_covid19,456,2113,0.788349,0.691223,0.645608,30.690859,7.184197,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unet/medclipseg_covid19/seed456/controls/true/summary.csv
U-Net,image-only,medclipseg_covid19,789,2113,0.787218,0.688888,0.639997,30.312953,7.166395,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unet/medclipseg_covid19/seed789/controls/true/summary.csv
U-Net++,image-only,medclipseg_busi,123,78,0.761298,0.692790,0.344487,46.524252,15.704325,0.064103,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unetplusplus/medclipseg_busi/seed123/controls/true/summary.csv
U-Net++,image-only,medclipseg_busi,456,78,0.769193,0.702615,0.362516,52.495929,16.270686,0.051282,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unetplusplus/medclipseg_busi/seed456/controls/true/summary.csv
U-Net++,image-only,medclipseg_busi,789,78,0.755891,0.686986,0.333693,47.273978,15.358432,0.076923,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unetplusplus/medclipseg_busi/seed789/controls/true/summary.csv
U-Net++,image-only,medclipseg_clinicdb,123,61,0.899458,0.833683,0.595433,18.660098,4.747142,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unetplusplus/medclipseg_clinicdb/seed123/controls/true/summary.csv
U-Net++,image-only,medclipseg_clinicdb,456,61,0.903093,0.839423,0.613734,19.937449,4.943317,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unetplusplus/medclipseg_clinicdb/seed456/controls/true/summary.csv
U-Net++,image-only,medclipseg_clinicdb,789,61,0.890597,0.822984,0.593049,16.804317,4.547300,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unetplusplus/medclipseg_clinicdb/seed789/controls/true/summary.csv
U-Net++,image-only,medclipseg_busbra,123,282,0.886220,0.811751,0.530520,18.468009,5.264727,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unetplusplus/medclipseg_busbra/seed123/controls/true/summary.csv
U-Net++,image-only,medclipseg_busbra,456,282,0.885211,0.810464,0.532264,19.039081,5.219179,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unetplusplus/medclipseg_busbra/seed456/controls/true/summary.csv
U-Net++,image-only,medclipseg_busbra,789,282,0.886274,0.811331,0.528282,17.996624,5.171898,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unetplusplus/medclipseg_busbra/seed789/controls/true/summary.csv
U-Net++,image-only,medclipseg_brisc,123,892,0.857581,0.789100,0.681004,13.618983,4.708331,0.005605,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unetplusplus/medclipseg_brisc/seed123/controls/true/summary.csv
U-Net++,image-only,medclipseg_brisc,456,892,0.864055,0.793905,0.677181,13.373768,4.594773,0.005605,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unetplusplus/medclipseg_brisc/seed456/controls/true/summary.csv
U-Net++,image-only,medclipseg_brisc,789,892,0.856561,0.786687,0.671632,13.672218,4.934172,0.011211,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unetplusplus/medclipseg_brisc/seed789/controls/true/summary.csv
U-Net++,image-only,medclipseg_covid19,123,2113,0.799527,0.704614,0.666892,27.754541,6.493623,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unetplusplus/medclipseg_covid19/seed123/controls/true/summary.csv
U-Net++,image-only,medclipseg_covid19,456,2113,0.800676,0.705984,0.666129,28.232142,6.589791,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unetplusplus/medclipseg_covid19/seed456/controls/true/summary.csv
U-Net++,image-only,medclipseg_covid19,789,2113,0.799913,0.704708,0.663942,28.077613,6.506273,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unetplusplus/medclipseg_covid19/seed789/controls/true/summary.csv
nnU-Net,image-only,medclipseg_busi,123,78,0.747575,0.683258,0.341558,42.759073,13.285792,0.102564,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_busi/seed123/controls/true/summary.csv
nnU-Net,image-only,medclipseg_busi,456,78,0.749955,0.687909,0.331727,43.298725,15.583388,0.089744,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_busi/seed456/controls/true/summary.csv
nnU-Net,image-only,medclipseg_busi,789,78,0.752188,0.687857,0.339434,47.902513,17.428946,0.064103,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_busi/seed789/controls/true/summary.csv
nnU-Net,image-only,medclipseg_clinicdb,123,61,0.934657,0.884329,0.700594,9.010018,2.585528,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_clinicdb/seed123/controls/true/summary.csv
nnU-Net,image-only,medclipseg_clinicdb,456,61,0.939742,0.889587,0.706753,9.220298,2.552851,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_clinicdb/seed456/controls/true/summary.csv
nnU-Net,image-only,medclipseg_clinicdb,789,61,0.934274,0.884941,0.710037,11.237194,3.003845,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_clinicdb/seed789/controls/true/summary.csv
nnU-Net,image-only,medclipseg_busbra,123,282,0.899039,0.829781,0.539163,14.806493,4.503257,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_busbra/seed123/controls/true/summary.csv
nnU-Net,image-only,medclipseg_busbra,456,282,0.901853,0.833350,0.542791,14.235262,4.336265,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_busbra/seed456/controls/true/summary.csv
nnU-Net,image-only,medclipseg_busbra,789,282,0.893199,0.823811,0.534654,15.462928,4.714146,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_busbra/seed789/controls/true/summary.csv
nnU-Net,image-only,medclipseg_brisc,123,892,0.869045,0.808462,0.727793,12.226788,3.838518,0.019058,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_brisc/seed123/controls/true/summary.csv
nnU-Net,image-only,medclipseg_brisc,456,892,0.875932,0.816850,0.737749,12.323500,3.775064,0.014574,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_brisc/seed456/controls/true/summary.csv
nnU-Net,image-only,medclipseg_brisc,789,892,0.873873,0.814035,0.734469,13.202391,4.251031,0.011211,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_brisc/seed789/controls/true/summary.csv
nnU-Net,image-only,medclipseg_covid19,123,2113,0.789104,0.693871,0.657429,28.753760,6.722292,0.005679,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_covid19/seed123/controls/true/summary.csv
nnU-Net,image-only,medclipseg_covid19,456,2113,0.791144,0.698121,0.661690,27.557064,6.513694,0.007099,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_covid19/seed456/controls/true/summary.csv
nnU-Net,image-only,medclipseg_covid19,789,2113,0.791708,0.698021,0.663447,27.705973,6.414114,0.008519,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_covid19/seed789/controls/true/summary.csv
U-Mamba,image-only,medclipseg_busi,123,78,0.757393,0.695256,0.366427,63.078280,19.821445,0.064103,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/umamba/medclipseg_busi/seed123/controls/true/summary.csv
U-Mamba,image-only,medclipseg_busi,456,78,0.768672,0.704378,0.359627,43.889882,14.627136,0.076923,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/umamba/medclipseg_busi/seed456/controls/true/summary.csv
U-Mamba,image-only,medclipseg_busi,789,78,0.772906,0.705142,0.338318,40.516836,15.471815,0.064103,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/umamba/medclipseg_busi/seed789/controls/true/summary.csv
U-Mamba,image-only,medclipseg_clinicdb,123,61,0.923883,0.874736,0.700177,12.689030,3.363484,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/umamba/medclipseg_clinicdb/seed123/controls/true/summary.csv
U-Mamba,image-only,medclipseg_clinicdb,456,61,0.920886,0.868174,0.684377,13.722367,3.641582,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/umamba/medclipseg_clinicdb/seed456/controls/true/summary.csv
U-Mamba,image-only,medclipseg_clinicdb,789,61,0.921489,0.870773,0.709092,13.275593,3.797372,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/umamba/medclipseg_clinicdb/seed789/controls/true/summary.csv
U-Mamba,image-only,medclipseg_busbra,123,282,0.898584,0.831146,0.551734,14.381124,4.589328,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/umamba/medclipseg_busbra/seed123/controls/true/summary.csv
U-Mamba,image-only,medclipseg_busbra,456,282,0.907723,0.840623,0.554911,12.924286,4.077818,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/umamba/medclipseg_busbra/seed456/controls/true/summary.csv
U-Mamba,image-only,medclipseg_busbra,789,282,0.903906,0.835560,0.550955,13.852198,4.283612,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/umamba/medclipseg_busbra/seed789/controls/true/summary.csv
U-Mamba,image-only,medclipseg_brisc,123,892,0.858495,0.797512,0.712224,13.300651,4.669851,0.016816,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/umamba/medclipseg_brisc/seed123/controls/true/summary.csv
U-Mamba,image-only,medclipseg_brisc,456,892,0.847267,0.784439,0.690265,13.487940,4.775213,0.022422,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/umamba/medclipseg_brisc/seed456/controls/true/summary.csv
U-Mamba,image-only,medclipseg_brisc,789,892,0.855370,0.792984,0.703230,12.902126,4.416180,0.021300,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/umamba/medclipseg_brisc/seed789/controls/true/summary.csv
U-Mamba,image-only,medclipseg_covid19,123,2113,0.790535,0.695833,0.661674,27.634290,6.698569,0.005206,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/umamba/medclipseg_covid19/seed123/controls/true/summary.csv
U-Mamba,image-only,medclipseg_covid19,456,2113,0.787744,0.693189,0.660354,28.575310,6.870370,0.005206,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/umamba/medclipseg_covid19/seed456/controls/true/summary.csv
U-Mamba,image-only,medclipseg_covid19,789,2113,0.793991,0.701476,0.668365,27.143798,6.518583,0.008045,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/umamba/medclipseg_covid19/seed789/controls/true/summary.csv
U-KAN,image-only,medclipseg_busi,123,78,0.809338,0.742602,0.404872,45.347031,15.270587,0.025641,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/ukan/medclipseg_busi/seed123/controls/true/summary.csv
U-KAN,image-only,medclipseg_busi,456,78,0.749992,0.681865,0.355805,50.776422,18.677265,0.076923,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/ukan/medclipseg_busi/seed456/controls/true/summary.csv
U-KAN,image-only,medclipseg_busi,789,78,0.753561,0.686788,0.352436,48.518092,16.418938,0.076923,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/ukan/medclipseg_busi/seed789/controls/true/summary.csv
U-KAN,image-only,medclipseg_clinicdb,123,61,0.917095,0.855736,0.625990,15.021767,3.841965,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/ukan/medclipseg_clinicdb/seed123/controls/true/summary.csv
U-KAN,image-only,medclipseg_clinicdb,456,61,0.910345,0.849394,0.632624,16.178732,4.088568,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/ukan/medclipseg_clinicdb/seed456/controls/true/summary.csv
U-KAN,image-only,medclipseg_clinicdb,789,61,0.914435,0.854171,0.629253,14.314954,3.749721,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/ukan/medclipseg_clinicdb/seed789/controls/true/summary.csv
U-KAN,image-only,medclipseg_busbra,123,282,0.884354,0.811070,0.524070,16.891226,5.303514,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/ukan/medclipseg_busbra/seed123/controls/true/summary.csv
U-KAN,image-only,medclipseg_busbra,456,282,0.878784,0.804207,0.520967,17.340792,5.401305,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/ukan/medclipseg_busbra/seed456/controls/true/summary.csv
U-KAN,image-only,medclipseg_busbra,789,282,0.893589,0.820380,0.534012,16.711820,4.862727,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/ukan/medclipseg_busbra/seed789/controls/true/summary.csv
U-KAN,image-only,medclipseg_brisc,123,892,0.850875,0.779248,0.643118,13.689228,4.446775,0.019058,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/ukan/medclipseg_brisc/seed123/controls/true/summary.csv
U-KAN,image-only,medclipseg_brisc,456,892,0.856175,0.785911,0.653646,12.307270,4.092466,0.016816,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/ukan/medclipseg_brisc/seed456/controls/true/summary.csv
U-KAN,image-only,medclipseg_brisc,789,892,0.856576,0.784592,0.649882,13.050674,4.308848,0.011211,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/ukan/medclipseg_brisc/seed789/controls/true/summary.csv
U-KAN,image-only,medclipseg_covid19,123,2113,0.792762,0.696381,0.669428,30.288774,7.121318,0.001893,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/ukan/medclipseg_covid19/seed123/controls/true/summary.csv
U-KAN,image-only,medclipseg_covid19,456,2113,0.796240,0.702308,0.675587,28.289340,6.669413,0.005206,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/ukan/medclipseg_covid19/seed456/controls/true/summary.csv
U-KAN,image-only,medclipseg_covid19,789,2113,0.792447,0.698629,0.671810,29.392963,6.860998,0.004259,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/ukan/medclipseg_covid19/seed789/controls/true/summary.csv
