dataset,metric,n_cases,n_subjects,equal_subject_delta_true_minus_control,cluster_ci_low,cluster_ci_high,subject_wilcoxon_p,subject_paired_t_p
medclipseg_covid19,dice,2113,474,0.22422871517301932,0.2111840260529929,0.2379576056736635,3.3438472292989667e-77,1.807672940882755e-124
medclipseg_covid19,iou,2113,474,0.24359967320672085,0.23062126100527844,0.25676351944508136,4.250692157919496e-78,1.8101547976027903e-141
