model,dataset,seed,dice,iou,samples,source
nnunet,medclipseg_clinicdb,789,0.934274000,0.884941000,61,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_clinicdb/seed789/controls/true/summary.csv
nnunet,medclipseg_busbra,123,0.899039000,0.829781000,282,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_busbra/seed123/controls/true/summary.csv
nnunet,medclipseg_busbra,456,0.901853000,0.833350000,282,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_busbra/seed456/controls/true/summary.csv
nnunet,medclipseg_busbra,789,0.893199000,0.823811000,282,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_busbra/seed789/controls/true/summary.csv
nnunet,medclipseg_brisc,123,0.869045000,0.808462000,892,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_brisc/seed123/controls/true/summary.csv
nnunet,medclipseg_brisc,456,0.875932000,0.816850000,892,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_brisc/seed456/controls/true/summary.csv
nnunet,medclipseg_brisc,789,0.873873000,0.814035000,892,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_brisc/seed789/controls/true/summary.csv
nnunet,medclipseg_covid19,123,0.789104000,0.693871000,2113,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_covid19/seed123/controls/true/summary.csv
nnunet,medclipseg_covid19,456,0.791144000,0.698121000,2113,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_covid19/seed456/controls/true/summary.csv
nnunet,medclipseg_covid19,789,0.791708000,0.698021000,2113,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/nnunet/medclipseg_covid19/seed789/controls/true/summary.csv
umamba,medclipseg_busi,123,0.757393000,0.695256000,78,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/umamba/medclipseg_busi/seed123/controls/true/summary.csv
umamba,medclipseg_busi,456,0.768672000,0.704378000,78,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/umamba/medclipseg_busi/seed456/controls/true/summary.csv
umamba,medclipseg_busi,789,0.772906000,0.705142000,78,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/umamba/medclipseg_busi/seed789/controls/true/summary.csv
umamba,medclipseg_clinicdb,123,0.923883000,0.874736000,61,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/umamba/medclipseg_clinicdb/seed123/controls/true/summary.csv
umamba,medclipseg_clinicdb,456,0.920886000,0.868174000,61,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/umamba/medclipseg_clinicdb/seed456/controls/true/summary.csv
umamba,medclipseg_clinicdb,789,0.921489000,0.870773000,61,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/umamba/medclipseg_clinicdb/seed789/controls/true/summary.csv
umamba,medclipseg_busbra,123,0.898584000,0.831146000,282,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/umamba/medclipseg_busbra/seed123/controls/true/summary.csv
