run_id,method,biomedclip,atconv,equiprompt,dataset,seed,dice,iou,source
V3_ABL_BIOMED,Base + BioMedCLIP,Yes,No,No,BUS-BRA,123,0.891878,0.817594,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BIOMED/medclipseg_busbra/seed123/controls/true/summary.csv
V3_ABL_BIOMED,Base + BioMedCLIP,Yes,No,No,BUS-BRA,456,0.88996,0.814194,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BIOMED/medclipseg_busbra/seed456/controls/true/summary.csv
V3_ABL_BIOMED,Base + BioMedCLIP,Yes,No,No,BUS-BRA,789,0.893367,0.818287,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BIOMED/medclipseg_busbra/seed789/controls/true/summary.csv
V3_ABL_BIOMED,Base + BioMedCLIP,Yes,No,No,BRISC,123,0.865912,0.795757,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BIOMED/medclipseg_brisc/seed123/controls/true/summary.csv
V3_ABL_BIOMED,Base + BioMedCLIP,Yes,No,No,BRISC,456,0.8651,0.795735,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BIOMED/medclipseg_brisc/seed456/controls/true/summary.csv
V3_ABL_BIOMED,Base + BioMedCLIP,Yes,No,No,BRISC,789,0.866271,0.79647,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BIOMED/medclipseg_brisc/seed789/controls/true/summary.csv
V3_ABL_BIOMED,Base + BioMedCLIP,Yes,No,No,COVID-19,123,0.832709,0.743849,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BIOMED/medclipseg_covid19/seed123/controls/true/summary.csv
V3_ABL_BIOMED,Base + BioMedCLIP,Yes,No,No,COVID-19,456,0.833709,0.74553,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BIOMED/medclipseg_covid19/seed456/controls/true/summary.csv
V3_ABL_BIOMED,Base + BioMedCLIP,Yes,No,No,COVID-19,789,0.833967,0.745425,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BIOMED/medclipseg_covid19/seed789/controls/true/summary.csv
V3_ABL_ATCONV,Base + ATConv,No,Yes,No,BUSI,123,0.852993,0.783519,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_ATCONV/medclipseg_busi/seed123/controls/true/summary.csv
