run_id,method,biomedclip,atconv,equiprompt,dataset,n_seeds,dice_mean,dice_std,iou_mean,iou_std
V3_ABL_BASE,Base model,No,No,No,BUSI,3,0.8449566666666667,0.008231616750877907,0.7786156666666667,0.007996313233818003
V3_ABL_BASE,Base model,No,No,No,ClinicDB,3,0.9014903333333334,0.009665444238799059,0.8419023333333333,0.009136800661792574
V3_ABL_BASE,Base model,No,No,No,BUS-BRA,3,0.8925846666666667,0.0014047406640847909,0.8182733333333333,0.0021680738763550926
V3_ABL_BASE,Base model,No,No,No,BRISC,3,0.8651626666666666,0.0016586356843301116,0.7952076666666666,0.0013989858231351943
V3_ABL_BASE,Base model,No,No,No,COVID-19,3,0.8164713333333333,0.0007609259709940952,0.727117,0.0014234805934750174
V3_ABL_BASE,Base model,No,No,No,Public-5 macro,3,0.8641331333333333,0.003539735144517607,0.7922232,0.003382823152338864
V3_ABL_BIOMED,Base + BioMedCLIP,Yes,No,No,BUSI,3,0.8376396666666667,0.004697654982364419,0.7696376666666667,0.005869819957488756
V3_ABL_BIOMED,Base + BioMedCLIP,Yes,No,No,ClinicDB,3,0.9046793333333334,0.010258449021822599,0.8488423333333334,0.009569925826950426
V3_ABL_BIOMED,Base + BioMedCLIP,Yes,No,No,BUS-BRA,3,0.8917349999999999,0.0017079956088936752,0.8166916666666667,0.0021906200796426153
V3_ABL_BIOMED,Base + BioMedCLIP,Yes,No,No,BRISC,3,0.865761,0.0005999258287488731,0.7959873333333334,0.00041814630613379257
V3_ABL_BIOMED,Base + BioMedCLIP,Yes,No,No,COVID-19,3,0.8334616666666667,0.0006644707166860885,0.7449346666666666,0.0009416795279357888
V3_ABL_BIOMED,Base + BioMedCLIP,Yes,No,No,Public-5 macro,3,0.8666553333333333,0.0008161661677215622,0.7952187333333334,0.0005801758469061868
V3_ABL_ATCONV,Base + ATConv,No,Yes,No,BUSI,3,0.8475613333333334,0.004752500219182866,0.7807833333333333,0.00263767782970805
V3_ABL_ATCONV,Base + ATConv,No,Yes,No,ClinicDB,3,0.908656,0.009858976265312762,0.848834,0.011724129008160899
V3_ABL_ATCONV,Base + ATConv,No,Yes,No,BUS-BRA,3,0.891927,0.004246124939282867,0.8178156666666666,0.005294335683854296
V3_ABL_ATCONV,Base + ATConv,No,Yes,No,BRISC,3,0.8633713333333334,0.0010724077271883695,0.7931086666666667,0.0014330726894799695
V3_ABL_ATCONV,Base + ATConv,No,Yes,No,COVID-19,3,0.8201876666666666,0.0015645898291031957,0.730564,0.0011415147830843315
V3_ABL_ATCONV,Base + ATConv,No,Yes,No,Public-5 macro,3,0.8663406666666666,0.003168288082440271,0.7942211333333333,0.0030605748566785947
V3_ABL_BIOMED_ATCONV,Base + BioMedCLIP + ATConv,Yes,Yes,No,BUSI,3,0.8487183333333334,0.0046315863732994565,0.7808013333333333,0.005059155298400466
V3_ABL_BIOMED_ATCONV,Base + BioMedCLIP + ATConv,Yes,Yes,No,ClinicDB,3,0.9149473333333333,0.00466073087973689,0.8556973333333333,0.005615091480406494
V3_ABL_BIOMED_ATCONV,Base + BioMedCLIP + ATConv,Yes,Yes,No,BUS-BRA,3,0.890835,0.0021796153330347246,0.817606,0.002312527405243012
V3_ABL_BIOMED_ATCONV,Base + BioMedCLIP + ATConv,Yes,Yes,No,BRISC,3,0.863915,0.0024722222796504513,0.794087,0.0018329192562685415
V3_ABL_BIOMED_ATCONV,Base + BioMedCLIP + ATConv,Yes,Yes,No,COVID-19,3,0.8331783333333334,0.0009745718718151401,0.7442283333333334,0.0018671157793059333
V3_ABL_BIOMED_ATCONV,Base + BioMedCLIP + ATConv,Yes,Yes,No,Public-5 macro,3,0.8703188,0.0015245186912596317,0.798484,0.0022553856166962023
V3_ABL_SHARED_NR,MedEquiSeg w/o Prompt Rewrite,Yes,Yes,No rewrite,BUSI,3,0.8559573333333333,0.00581236237113042,0.7936396666666666,0.00634728842367617
V3_ABL_SHARED_NR,MedEquiSeg w/o Prompt Rewrite,Yes,Yes,No rewrite,ClinicDB,3,0.923725,0.009339340233656797,0.868209,0.011133336606785955
V3_ABL_SHARED_NR,MedEquiSeg w/o Prompt Rewrite,Yes,Yes,No rewrite,BUS-BRA,3,0.9014116666666666,0.0015851524637501661,0.830255,0.001837212834703684
V3_ABL_SHARED_NR,MedEquiSeg w/o Prompt Rewrite,Yes,Yes,No rewrite,BRISC,3,0.8746193333333333,0.0020150896588820386,0.8058953333333333,0.002006012047155576
V3_ABL_SHARED_NR,MedEquiSeg w/o Prompt Rewrite,Yes,Yes,No rewrite,COVID-19,3,0.8424086666666667,0.001279834494508279,0.7569093333333333,0.0013131646253738967
V3_ABL_SHARED_NR,MedEquiSeg w/o Prompt Rewrite,Yes,Yes,No rewrite,Public-5 macro,3,0.8796244,0.0005296212986653718,0.8109816666666666,0.0008453867832733811
V3_ABL_EQUIPROMPT,MedEquiSeg,Yes,Yes,Yes,BUSI,3,0.857811,0.004543026744363294,0.794897,0.0023226887436761713
V3_ABL_EQUIPROMPT,MedEquiSeg,Yes,Yes,Yes,ClinicDB,3,0.9207186666666667,0.007149383213490072,0.8636323333333333,0.006059251796495419
V3_ABL_EQUIPROMPT,MedEquiSeg,Yes,Yes,Yes,BUS-BRA,3,0.902371,0.0014361305650949765,0.8315246666666667,0.0010480960515779649
V3_ABL_EQUIPROMPT,MedEquiSeg,Yes,Yes,Yes,BRISC,3,0.8718156666666667,0.001426688590174259,0.8031636666666667,0.0013245793042824295
V3_ABL_EQUIPROMPT,MedEquiSeg,Yes,Yes,Yes,COVID-19,3,0.840832,0.0013370516070817903,0.755089,0.0013529046529597165
V3_ABL_EQUIPROMPT,MedEquiSeg,Yes,Yes,Yes,Public-5 macro,3,0.8787096666666666,0.0016822677115529234,0.8096613333333333,0.0012591334374613583
