method,modality,dataset,seeds,test_n,nonempty_n,empty_n,overall_dice_mean,overall_dice_std,nonempty_dice_mean,nonempty_dice_std,nonempty_iou_mean,nonempty_iou_std,nonempty_empty_prediction_rate_mean,nonempty_empty_prediction_rate_std,empty_specificity_mean,empty_specificity_std,empty_false_positive_rate_mean,empty_false_positive_rate_std
U-Net++,image-only,medclipseg_brisc,3,892,753,139,0.859399221,0.004064458,0.838757112,0.003882989,0.756425234,0.003014164,0.003541390,0.001533467,0.971223022,0.012460797,0.028776978,0.012460797
U-Net++,image-only,medclipseg_covid19,3,2113,2113,0,0.800038582,0.000584517,0.800038582,0.000584517,0.705101986,0.000765526,0.000000000,0.000000000,,,,
nnU-Net,image-only,medclipseg_busi,3,78,65,13,0.749905966,0.002306820,0.771682031,0.006665342,0.695404626,0.007821965,0.030769231,0.015384615,0.641025641,0.044411559,0.358974359,0.044411559
nnU-Net,image-only,medclipseg_clinicdb,3,61,61,0,0.936224262,0.003052068,0.936224262,0.003052068,0.886285661,0.002874988,0.000000000,0.000000000,,,,
nnU-Net,image-only,medclipseg_busbra,3,282,282,0,0.898030485,0.004413978,0.898030485,0.004413978,0.828980488,0.004819590,0.000000000,0.000000000,,,,
nnU-Net,image-only,medclipseg_brisc,3,892,753,139,0.872950213,0.003535196,0.850825485,0.003421328,0.779945753,0.004309115,0.016378929,0.003342114,0.992805755,0.007194245,0.007194245,0.007194245
nnU-Net,image-only,medclipseg_covid19,3,2113,2113,0,0.790652387,0.001369942,0.790652387,0.001369942,0.696671187,0.002425114,0.007098912,0.001419782,,,,
U-Mamba,image-only,medclipseg_busi,3,78,65,13,0.766323756,0.008019066,0.796511585,0.009622879,0.718833359,0.006600870,0.005128205,0.008882312,0.615384615,0.000000000,0.384615385,0.000000000
U-Mamba,image-only,medclipseg_clinicdb,3,61,61,0,0.922085814,0.001585327,0.922085814,0.001585327,0.871227546,0.003304405,0.000000000,0.000000000,,,,
U-Mamba,image-only,medclipseg_busbra,3,282,282,0,0.903404436,0.004590458,0.903404436,0.004590458,0.835776428,0.004742327,0.000000000,0.000000000,,,,
U-Mamba,image-only,medclipseg_brisc,3,892,753,139,0.853710632,0.005795251,0.827591700,0.006716101,0.754069222,0.007766924,0.023019035,0.003833667,0.995203837,0.004153599,0.004796163,0.004153599
U-Mamba,image-only,medclipseg_covid19,3,2113,2113,0,0.790756767,0.003129830,0.790756767,0.003129830,0.696832807,0.004232767,0.006152390,0.001639423,,,,
U-KAN,image-only,medclipseg_busi,3,78,65,13,0.770963799,0.033280986,0.796951431,0.004849037,0.716297031,0.005674339,0.000000000,0.000000000,0.641025641,0.177646237,0.358974359,0.177646237
U-KAN,image-only,medclipseg_clinicdb,3,61,61,0,0.913958087,0.003400202,0.913958087,0.003400202,0.853100530,0.003303775,0.000000000,0.000000000,,,,
U-KAN,image-only,medclipseg_busbra,3,282,282,0,0.885575933,0.007477868,0.885575933,0.007477868,0.811885559,0.008117203,0.000000000,0.000000000,,,,
U-KAN,image-only,medclipseg_brisc,3,892,753,139,0.854541947,0.003182338,0.832117862,0.001893987,0.747666388,0.002623213,0.014165560,0.003066934,0.976019185,0.010989390,0.023980815,0.010989390
U-KAN,image-only,medclipseg_covid19,3,2113,2113,0,0.793816334,0.002105038,0.793816334,0.002105038,0.699106040,0.002992388,0.003786086,0.001706366,,,,
